Frame,Raw_Intensity,Processed_Intensity
291,10.26,0.0016
292,10.4,0.1228
293,10.01,0.2423
294,138.25,0.3703
295,139.39,0.3717
296,147.78,0.4229
297,11.94,0.4206
298,65.07,0.311
299,135.78,0.1859
300,21.62,0.1853
301,13.31,0.2722
302,11.3,0.3035
303,158.4,0.4534
304,169.43,0.5929
305,182.69,0.7813
306,163.24,0.8214
307,213.67,0.6749
308,201.53,0.5135
309,12.0,0.3721
310,9.32,0.184
311,11.3,0.1878
312,11.5,0.3666
313,205.63,0.3705
314,204.18,0.3697
315,13.49,0.3707
316,10.39,0.3085
317,12.62,0.2535
318,138.73,0.3783
319,145.14,0.378
320,147.56,0.3753
321,10.04,0.2555
322,9.8,0.1773
323,10.03,0.2417
324,61.02,0.3973
325,216.74,0.4005
326,177.32,0.402
327,13.18,0.3563
328,11.71,0.1636
329,11.88,0.0102
330,9.7,0.0096
331,12.5,0.0098
332,12.5,0.0079
333,12.0,0.0105
334,9.8,0.0087
335,12.5,0.0082
336,10.58,0.006
337,11.92,0.1315
338,9.66,0.2506
339,144.64,0.3703
340,140.46,0.3718
341,139.24,0.53
342,13.45,0.5244
343,179.66,0.5239
344,138.64,0.5263
345,139.89,0.6455
346,141.87,0.4888
347,141.46,0.3693
348,11.33,0.2504
349,10.24,0.2958
350,12.18,0.2865
351,190.61,0.4514
352,131.48,0.4481
353,188.53,0.4448
354,6.68,0.4146
355,8.58,0.4756
356,158.2,0.3147
357,197.06,0.3166
358,15.63,0.4631
359,8.69,0.3391
360,166.01,0.167
361,24.92,0.2765
362,12.15,0.3864
363,133.28,0.3642
364,126.79,0.469
365,142.18,0.5817
366,137.54,0.6056
367,133.16,0.5036
368,158.96,0.3999
369,17.22,0.2905
370,30.82,0.2065
371,19.94,0.061
372,42.98,0.1901
373,2.54,0.2987
374,155.94,0.3958
375,147.59,0.5127
376,124.19,0.5357
377,168.61,0.4009
378,27.25,0.395
379,11.14,0.4249
380,141.22,0.2977
381,156.35,0.2841
382,31.91,0.4003
383,12.66,0.3881
384,135.92,0.3625
385,128.14,0.4594
386,128.86,0.6211
387,136.05,0.6661
388,186.42,0.5561
389,184.24,0.4765
390,9.96,0.3592
391,43.27,0.3341
392,10.09,0.2357
393,159.46,0.2646
394,78.52,0.2308
395,40.94,0.2732
396,6.93,0.1342
397,55.73,0.0982
398,10.07,0.0637
399,39.86,0.2287
400,3.9,0.1976
401,184.15,0.2012
402,22.37,0.2854
403,13.86,0.4143
404,130.42,0.3698
405,142.35,0.4799
406,136.35,0.4712
407,140.62,0.3567
408,4.51,0.2657
409,7.46,0.1835
410,44.54,0.2527
411,48.0,0.3743
412,214.98,0.3777
413,135.22,0.3524
414,11.14,0.3116
415,17.32,0.2362
416,4.14,0.2165
417,133.93,0.2131
418,114.07,0.3751
419,7.51,0.5161
420,191.38,0.5354
421,155.68,0.4517
422,154.65,0.4539
423,24.15,0.4203
424,9.84,0.4529
425,155.26,0.5301
426,190.76,0.6413
427,237.57,0.6358
428,143.62,0.5054
429,3.88,0.3661
430,15.2,0.1818
431,41.13,0.1788
432,39.54,0.3244
433,140.35,0.3207
434,160.32,0.3052
435,11.26,0.4027
436,24.46,0.4149
437,144.26,0.27
438,153.44,0.2773
439,4.67,0.4144
440,19.12,0.4403
441,171.77,0.4341
442,172.12,0.4528
443,146.76,0.5038
444,24.74,0.5266
445,73.87,0.4862
446,196.36,0.5476
447,128.72,0.5713
448,212.71,0.5131
449,50.13,0.5213
450,11.4,0.5471
451,205.14,0.4784
452,156.5,0.6101
453,138.9,0.667
454,191.64,0.5364
455,72.49,0.566
456,64.8,0.6137
457,188.33,0.4384
458,190.08,0.4256
459,3.38,0.3879
460,58.74,0.3997
461,24.28,0.2904
462,200.95,0.3391
463,72.65,0.4599
464,55.69,0.5654
465,188.55,0.5552
466,137.65,0.6535
467,190.0,0.7656
468,178.25,0.6442
469,176.12,0.5539
470,58.09,0.4158
471,40.62,0.2528
472,41.67,0.2184
473,3.14,0.2889
474,139.15,0.2781
475,133.87,0.2778
476,29.02,0.4004
477,41.28,0.3993
478,134.93,0.2874
479,137.9,0.3165
480,13.62,0.4027
481,60.36,0.4079
482,133.92,0.2887
483,140.5,0.3273
484,9.76,0.4358
485,55.18,0.479
486,176.94,0.4815
487,180.28,0.6021
488,143.19,0.5894
489,139.3,0.4507
490,41.54,0.2977
491,27.96,0.181
492,15.92,0.1771
493,17.72,0.2608
494,135.18,0.258
495,131.47,0.2545
496,24.97,0.2406
497,12.15,0.1408
498,2.74,0.05
499,27.92,0.0717
500,33.96,0.2501
501,48.32,0.3763
502,203.78,0.3617
503,138.29,0.3736
504,12.25,0.3351
505,46.78,0.1811
506,6.95,0.2181
507,38.37,0.3666
508,178.02,0.3277
509,171.82,0.3568
510,4.93,0.3314
511,38.22,0.1765
512,11.12,0.0304
513,11.51,0.0581
514,14.89,0.0438
515,34.67,0.0447
516,22.9,0.0481
517,12.06,0.048
518,15.12,0.0293
519,14.79,0.022
520,14.6,0.0646
521,15.06,0.2385
522,57.86,0.3815
523,201.99,0.3799
524,168.43,0.3962
525,12.85,0.5423
526,32.55,0.5322
527,214.82,0.5525
528,191.15,0.7321
529,190.29,0.7234
530,205.84,0.5788
531,23.2,0.4033
532,59.38,0.4094
533,2.65,0.3393
534,196.83,0.4476
535,130.51,0.5128
536,139.61,0.629
537,129.43,0.5964
538,127.43,0.5678
539,161.83,0.4665
540,99.8,0.3577
541,30.74,0.4355
542,12.48,0.4596
543,211.1,0.4047
544,187.73,0.4346
545,40.8,0.6074
546,62.86,0.5557
547,198.12,0.5299
548,155.54,0.6388
549,159.99,0.7307
550,157.84,0.6946
551,161.65,0.5633
552,159.28,0.4709
553,14.48,0.496
554,60.67,0.5319
555,184.89,0.4873
556,200.17,0.4953
557,111.36,0.6654
558,23.1,0.718
559,243.44,0.5672
560,241.34,0.4764
561,38.14,0.469
562,13.87,0.3651
563,15.1,0.258
564,131.85,0.2312
565,126.27,0.348
566,9.38,0.4586
567,139.36,0.5125
568,133.92,0.5536
569,189.7,0.7218
570,170.48,0.5985
571,190.1,0.5242
572,6.9,0.3533
573,54.06,0.2564
574,6.04,0.219
575,66.44,0.3526
576,149.86,0.3055
577,150.43,0.4263
578,3.48,0.525
579,135.8,0.5199
580,172.52,0.3878
581,144.36,0.4869
