Frame,Raw_Intensity,Processed_Intensity
292,3.29,0.0043
293,4.36,0.0044
294,4.2,0.0034
295,4.24,0.0042
296,3.88,0.004
297,4.3,0.0044
298,4.1,0.0045
299,4.75,0.0059
300,4.36,0.0057
301,5.59,0.0051
302,4.02,0.0041
303,3.4,0.0054
304,3.49,0.0051
305,5.98,0.0056
306,5.28,0.0065
307,4.64,0.007
308,4.4,0.0061
309,4.2,0.0051
310,4.8,0.0051
311,4.1,0.0044
312,4.61,0.0043
313,3.56,0.004
314,4.06,0.0042
315,4.4,0.0033
316,4.32,0.0021
317,3.54,0.0023
318,2.08,0.002
319,4.34,0.0024
320,4.02,0.0033
321,4.86,0.0063
322,4.6,0.0074
323,5.73,0.0089
324,5.79,0.0091
325,5.8,0.0091
326,5.1,0.007
327,4.6,0.0051
328,3.18,0.0046
329,3.45,0.0048
330,5.2,0.0051
331,5.3,0.0038
332,4.96,0.0043
333,1.65,0.0033
334,4.04,0.0031
335,3.92,0.0025
336,5.08,0.0047
337,4.16,0.0055
338,4.42,0.0068
339,5.05,0.0058
340,5.5,0.0058
341,3.8,0.0049
342,4.24,0.0046
343,3.25,0.004
344,4.72,0.0048
345,4.76,0.0043
346,4.77,0.0038
347,3.6,0.0028
348,2.7,0.0027
349,3.48,0.003
350,4.6,0.0032
351,5.16,0.003
352,3.89,0.0027
353,2.41,0.0024
354,3.04,0.0014
355,4.24,0.0015
356,4.0,0.0019
357,4.0,0.0025
358,2.89,0.0041
359,3.79,0.0028
360,6.2,0.0025
361,2.39,0.0036
362,3.7,0.0035
363,4.16,0.002
364,3.7,0.0042
365,4.3,0.0041
366,5.18,0.0042
367,3.48,0.0044
368,4.4,0.004
369,3.9,0.0015
370,3.78,0.0018
371,2.07,0.0013
372,3.86,0.002
373,3.87,0.0025
374,4.71,0.0043
375,4.39,0.0045
376,4.24,0.0033
377,4.14,0.0037
378,2.47,0.0043
379,5.18,0.0049
380,5.1,0.0043
381,5.0,0.0068
382,3.36,0.0054
383,5.54,0.0045
384,3.42,0.0038
385,4.02,0.0044
386,4.16,0.0015
387,4.12,0.0031
388,1.99,0.0024
389,5.42,0.0032
390,3.08,0.003
391,5.18,0.0045
392,3.87,0.0032
393,3.87,0.0039
394,3.8,0.0034
395,3.96,0.0037
396,4.56,0.0033
397,4.16,0.0025
398,3.36,0.003
399,2.84,0.0034
400,4.64,0.0045
401,5.02,0.004
402,5.5,0.0051
403,2.77,0.0049
404,4.2,0.0035
405,4.37,0.0019
406,3.28,0.0028
407,3.56,0.003
408,3.86,0.0028
409,4.5,0.0033
410,4.07,0.0032
411,3.85,0.0041
412,3.52,0.0049
413,4.99,0.0056
414,5.42,0.0036
415,5.0,0.004
416,1.34,0.0032
417,3.96,0.0023
418,4.08,0.0022
419,4.24,0.0048
420,4.89,0.0044
421,4.62,0.0028
422,3.44,0.0023
423,2.13,0.0015
424,3.54,0.0006
425,3.96,0.0006
426,3.55,0.0032
427,3.42,0.0033
428,5.3,0.0041
429,3.68,0.0038
430,4.9,0.0047
431,3.27,0.0037
432,4.5,0.005
433,4.07,0.0051
434,5.27,0.0067
435,5.05,0.0059
436,5.21,0.0055
437,3.48,0.0037
438,3.61,0.0033
439,2.99,0.0029
440,4.62,0.0034
441,4.75,0.0038
442,4.06,0.0044
443,4.1,0.0043
444,3.7,0.0036
445,4.51,0.0041
446,3.84,0.0038
447,4.75,0.0044
448,3.7,0.0041
449,4.42,0.0039
450,4.16,0.0036
451,3.63,0.0037
452,4.32,0.0046
453,3.9,0.0054
454,5.46,0.0059
455,5.12,0.0066
456,4.28,0.0077
457,5.17,0.0067
458,5.23,0.0068
459,4.3,0.0068
460,5.24,0.0052
461,4.24,0.0045
462,3.28,0.0035
463,4.26,0.0037
464,3.18,0.0027
465,5.4,0.004
466,3.1,0.0031
467,4.85,0.0047
468,3.09,0.0042
469,5.2,0.0051
470,4.72,0.0037
471,4.2,0.0044
472,3.18,0.0026
473,3.92,0.0023
474,3.02,0.0019
475,4.32,0.0022
476,3.69,0.0024
477,3.63,0.0032
478,4.16,0.0041
479,4.0,0.0053
480,5.36,0.0066
481,5.25,0.0049
482,5.25,0.0049
483,1.95,0.004
484,4.08,0.0031
485,4.28,0.0016
486,4.05,0.0033
487,3.49,0.0037
488,4.04,0.005
489,4.58,0.0055
490,5.8,0.0057
491,4.67,0.0067
492,3.76,0.0065
493,5.3,0.0052
494,4.34,0.0026
495,4.16,0.0032
496,1.54,0.0011
497,4.38,0.0016
498,2.82,0.0007
499,4.89,0.0023
500,3.09,0.0019
501,3.44,0.004
502,3.92,0.0032
503,5.4,0.003
504,3.9,0.0024
505,2.82,0.0018
506,2.79,0.0018
507,3.18,0.0029
508,5.42,0.0045
509,5.22,0.0056
510,4.74,0.0063
511,4.2,0.0043
512,3.96,0.0032
513,2.99,0.0024
514,3.84,0.0014
515,3.8,0.0015
516,3.01,0.0017
517,4.0,0.002
518,3.26,0.0022
519,4.19,0.0022
520,4.08,0.0023
521,2.98,0.0032
522,4.2,0.0031
523,4.27,0.0028
524,4.17,0.0035
525,3.69,0.003
526,3.85,0.002
527,3.54,0.003
528,3.05,0.0044
529,5.4,0.0049
530,5.4,0.0053
531,4.42,0.0059
532,4.09,0.005
533,3.77,0.0031
534,4.32,0.0031
535,3.06,0.0025
536,4.36,0.0039
537,3.4,0.0045
538,5.5,0.0062
539,5.04,0.0057
540,5.17,0.0073
541,3.75,0.0057
542,5.4,0.0047
543,3.47,0.0039
544,3.86,0.004
545,4.15,0.0028
546,3.94,0.0033
547,3.92,0.0044
548,4.05,0.0043
549,5.15,0.0044
550,4.04,0.0042
551,4.1,0.0044
552,3.62,0.0035
553,4.36,0.0044
554,3.98,0.0041
555,5.18,0.0047
556,3.69,0.0043
557,4.4,0.004
558,3.82,0.0025
559,3.64,0.0036
560,3.4,0.0033
561,4.96,0.0033
562,4.06,0.0037
563,3.81,0.0052
564,4.1,0.0045
565,5.32,0.0045
566,4.13,0.0044
567,4.04,0.0055
568,3.72,0.0057
569,5.44,0.0052
570,5.5,0.006
571,3.52,0.0042
572,5.0,0.0025
573,1.56,0.001
574,3.29,0.0019
575,3.71,0.001
576,4.61,0.0022
577,3.86,0.0009
578,3.04,0.0011
579,1.68,0.0006
580,4.0,0.0009
581,3.93,0.0031
582,4.24,0.0052
583,5.84,0.0062
584,4.2,0.0066
585,5.26,0.0082
586,4.39,0.0078
587,6.22,0.0075
588,5.4,0.0058
589,3.85,0.0051
590,3.1,0.0035
591,3.59,0.0019
592,4.18,0.003
593,3.5,0.0034
594,5.19,0.0037
595,3.5,0.0036
596,4.0,0.0048
597,4.1,0.0024
598,4.92,0.0032
599,2.25,0.0033
600,4.56,0.0045
601,4.08,0.0023
602,5.51,0.0044
603,2.26,0.0036
604,4.82,0.003
605,3.58,0.0013
606,3.32,0.0029
607,3.4,0.0025
608,4.23,0.003
609,4.32,0.0032
610,4.24,0.0034
611,3.6,0.0038
612,3.6,0.0049
613,4.8,0.006
614,5.62,0.0069
615,5.62,0.0086
616,4.74,0.0077
617,5.59,0.0063
618,3.76,0.0048
619,3.9,0.0047
620,3.74,0.0031
621,4.62,0.0029
622,3.65,0.0033
623,3.45,0.0031
624,4.4,0.0033
625,3.5,0.0045
626,4.85,0.0059
627,5.2,0.0056
628,5.2,0.0066
629,4.0,0.0057
630,4.69,0.0056
631,3.7,0.0048
632,5.14,0.0046
633,4.24,0.0041
634,3.75,0.0043
635,4.0,0.0035
636,4.0,0.0043
637,4.1,0.0041
638,5.32,0.0043
639,3.49,0.0044
640,4.2,0.003
641,4.2,0.0019
642,2.36,0.002
643,3.93,0.0021
644,3.56,0.0005
645,4.32,0.0022
646,2.27,0.002
647,4.46,0.0024
648,3.72,0.0024
649,4.08,0.0036
650,4.3,0.0031
651,3.7,0.0043
652,3.84,0.0045
653,5.2,0.0052
654,4.3,0.0052
655,5.25,0.0053
656,3.7,0.0037
657,3.94,0.0037
658,3.18,0.003
659,4.36,0.0033
660,4.4,0.0033
661,4.0,0.0041
662,3.96,0.0048
663,4.22,0.0045
664,5.2,0.0045
665,3.95,0.0046
666,4.02,0.0043
667,4.1,0.0034
668,3.9,0.0035
669,4.07,0.0031
670,4.08,0.0014
671,3.52,0.0019
672,2.01,0.0003
673,4.5,0.0003
674,2.14,0.0005
675,3.98,0.0033
676,3.78,0.004
677,5.53,0.0067
678,5.3,0.0063
679,5.5,0.0054
680,3.5,0.0027
681,2.68,0.002
682,2.15,0.0011
683,4.4,0.0007
684,4.4,0.0011
685,3.0,0.0024
686,3.25,0.0031
687,3.78,0.0023
688,5.23,0.0038
689,3.39,0.0042
690,4.85,0.0045
691,3.76,0.0037
692,4.2,0.0054
693,4.2,0.0054
694,5.43,0.0049
695,4.9,0.0046
696,3.16,0.0044
697,3.75,0.0042
698,4.0,0.0036
699,5.23,0.0038
700,4.16,0.0023
701,3.32,0.0021
702,1.95,0.0016
703,3.73,0.0018
704,4.67,0.0019
705,4.33,0.003
706,3.45,0.0028
707,3.35,0.0037
708,3.49,0.0043
709,5.77,0.0048
710,5.03,0.0055
711,4.06,0.0068
712,4.28,0.0062
713,5.02,0.005
714,5.13,0.0044
715,3.48,0.0042
716,3.3,0.0035
717,4.02,0.0027
718,4.21,0.0034
719,4.21,0.0047
720,4.27,0.0058
721,4.96,0.0062
722,5.3,0.0074
723,4.77,0.0086
724,5.64,0.0074
725,5.76,0.0058
726,3.42,0.0052
727,3.42,0.0033
728,3.96,0.003
729,3.34,0.0046
730,5.4,0.0062
731,5.38,0.0073
732,5.38,0.0088
733,5.28,0.0087
734,5.28,0.0087
735,5.28,0.0084
736,5.34,0.0079
737,5.02,0.0079
738,4.59,0.0063
739,5.32,0.0049
740,3.3,0.0053
741,3.6,0.0059
742,5.5,0.0058
743,5.4,0.0072
744,5.15,0.0085
745,5.1,0.0079
746,5.1,0.0074
747,4.83,0.0074
748,4.8,0.0074
749,5.15,0.0074
750,5.1,0.0067
751,5.12,0.006
752,3.9,0.0054
753,3.95,0.0048
754,4.46,0.0038
755,4.26,0.0049
756,3.9,0.0047
757,5.26,0.0048
758,3.8,0.0059
759,4.47,0.0067
760,5.68,0.0065
761,4.84,0.0076
762,5.1,0.0071
763,5.1,0.0073
764,3.9,0.0076
765,5.94,0.0078
766,5.18,0.0081
767,5.34,0.0092
768,5.4,0.0086
769,5.3,0.0092
770,5.24,0.0089
771,5.9,0.0088
772,4.9,0.0092
773,5.38,0.0097
774,5.74,0.0092
775,5.86,0.0095
776,5.3,0.0095
777,5.3,0.0091
778,5.3,0.0088
779,5.3,0.009
780,5.48,0.0091
781,5.48,0.0092
782,5.42,0.0092
783,5.42,0.0092
784,5.42,0.0092
785,5.42,0.0092
786,5.42,0.0087
787,5.42,0.0092
788,4.92,0.0098
789,6.04,0.01
790,6.06,0.0102
791,5.66,0.0102
792,5.66,0.0101
793,4.93,0.0099
794,6.0,0.0093
795,5.8,0.0087
796,4.93,0.0085
797,4.93,0.0079
798,4.59,0.0081
799,5.34,0.0092
800,6.04,0.01
801,6.2,0.011
802,6.01,0.0114
803,5.84,0.0112
804,5.76,0.0108
805,5.76,0.0104
806,5.76,0.0101
807,5.48,0.0098
808,5.48,0.0095
809,5.38,0.0093
810,5.5,0.0094
811,5.5,0.0094
812,5.5,0.0097
813,5.5,0.0102
814,5.78,0.0107
815,6.16,0.0112
816,6.06,0.0118
817,6.12,0.0116
818,6.18,0.0121
819,5.62,0.0116
820,6.72,0.011
821,5.5,0.0104
822,5.4,0.0111
823,5.4,0.0096
824,6.48,0.0096
825,4.9,0.0101
826,5.51,0.0106
827,6.04,0.0101
828,5.94,0.0105
829,5.84,0.0107
830,5.45,0.0098
831,5.7,0.009
832,4.94,0.0093
833,4.94,0.0089
834,6.2,0.0087
835,5.0,0.0096
836,5.5,0.0104
837,5.97,0.0102
838,5.97,0.0109
839,5.94,0.0112
840,5.9,0.0112
841,5.9,0.0109
842,5.92,0.011
843,5.62,0.0105
844,6.08,0.0098
845,5.28,0.009
846,4.94,0.0097
847,4.94,0.0092
848,6.54,0.0094
849,5.5,0.0099
850,5.5,0.0103
851,5.5,0.0095
852,5.5,0.0095
853,5.5,0.0095
854,5.5,0.0095
855,5.5,0.0093
856,5.5,0.0092
857,5.3,0.0093
858,5.3,0.0093
859,5.66,0.0092
860,5.5,0.0098
861,5.46,0.01
862,6.03,0.0103
863,5.45,0.0103
864,6.06,0.0103
865,5.46,0.0098
866,5.46,0.0102
867,5.44,0.0098
868,6.02,0.0098
869,5.5,0.0104
870,5.5,0.0109
871,6.14,0.011
872,6.14,0.0115
873,6.06,0.0118
874,6.1,0.0114
875,5.87,0.0111
876,5.7,0.0107
877,5.78,0.0102
878,5.5,0.0102
879,5.5,0.0103
880,5.86,0.0105
881,5.87,0.0109
882,6.04,0.0114
883,6.03,0.0117
884,6.04,0.0118
885,6.3,0.0118
886,5.92,0.0112
887,6.1,0.0107
888,5.3,0.0096
889,5.42,0.0089
890,4.97,0.0088
891,4.97,0.0101
892,6.06,0.0102
893,6.84,0.0106
894,5.5,0.0104
895,5.5,0.0099
896,4.73,0.0097
897,5.46,0.0101
898,6.58,0.0095
899,6.02,0.0094
900,4.7,0.0088
901,4.7,0.0084
902,4.7,0.0085
903,6.1,0.0094
904,6.06,0.0104
905,5.82,0.011
906,5.91,0.0107
907,5.48,0.0103
908,5.7,0.0098
909,5.57,0.01
910,5.22,0.0106
911,6.2,0.0105
912,6.22,0.0102
913,5.54,0.0101
914,5.16,0.0096
915,5.19,0.009
916,5.5,0.009
917,5.5,0.0092
918,5.5,0.0094
919,5.48,0.0094
920,5.48,0.01
921,5.48,0.0103
922,6.16,0.0106
923,5.94,0.011
924,5.87,0.0115
925,5.92,0.0111
926,6.16,0.0112
927,5.62,0.0112
928,6.02,0.0104
929,5.84,0.0095
930,5.0,0.0095
931,5.0,0.0099
932,5.62,0.0092
933,6.6,0.0092
934,5.0,0.0106
935,5.0,0.0101
936,6.64,0.0097
937,5.0,0.0106
938,6.16,0.011
939,6.03,0.01
940,5.5,0.0104
941,5.5,0.0099
942,5.48,0.0094
943,5.5,0.0093
944,5.46,0.0096
945,5.32,0.01
946,5.93,0.0102
947,5.93,0.0106
948,5.8,0.0111
949,5.9,0.0104
950,5.9,0.0104
951,5.1,0.0106
952,5.94,0.0105
953,6.0,0.0104
954,5.79,0.011
