Frame,Raw_Intensity,Processed_Intensity
0,9.01,0.0137
1,8.52,0.0137
2,5.25,0.0137
3,5.15,0.0103
4,3.44,0.0065
5,4.75,0.006
6,3.88,0.0053
7,4.65,0.0078
8,4.25,0.0078
9,6.57,0.0098
10,4.66,0.0097
11,6.43,0.0113
12,4.54,0.0108
13,6.18,0.0103
14,5.92,0.0079
15,4.06,0.0073
16,3.54,0.0081
17,3.7,0.0072
18,7.16,0.0088
19,4.9,0.0093
20,6.05,0.011
21,4.16,0.01
22,5.81,0.0093
23,5.82,0.0095
24,4.08,0.0107
25,6.25,0.011
26,5.71,0.01
27,6.2,0.0104
28,4.5,0.0093
29,4.68,0.0084
30,4.8,0.0071
31,4.61,0.0067
32,4.55,0.0061
33,4.09,0.006
34,3.9,0.0062
35,4.74,0.0064
36,4.79,0.0065
37,4.86,0.0067
38,4.12,0.0064
39,4.18,0.0061
40,4.39,0.0061
41,4.35,0.0058
42,4.95,0.0067
43,3.75,0.0073
44,5.23,0.0081
45,5.1,0.0088
46,5.42,0.0095
47,5.75,0.0087
48,4.61,0.008
49,4.32,0.0066
50,4.18,0.006
51,3.68,0.0057
52,5.0,0.0052
53,4.34,0.0069
54,3.59,0.0105
55,6.28,0.0131
56,8.2,0.0177
57,8.2,0.021
58,10.02,0.024
59,7.67,0.0247
60,10.02,0.0218
61,9.06,0.0165
62,4.63,0.015
63,3.46,0.0115
64,5.8,0.0092
65,5.71,0.0118
66,6.15,0.0145
67,7.95,0.0132
68,6.8,0.0127
69,4.1,0.013
70,5.11,0.0132
71,6.59,0.0128
72,8.16,0.0147
73,6.28,0.0148
74,6.48,0.0136
75,5.2,0.0126
76,5.1,0.0122
77,6.9,0.0116
78,5.86,0.0121
79,5.7,0.0118
80,5.85,0.0098
81,4.72,0.0076
82,4.46,0.0061
83,3.02,0.0052
84,3.88,0.0063
85,4.75,0.0068
86,6.09,0.0068
87,5.13,0.0064
88,2.96,0.0061
89,3.45,0.0064
90,4.32,0.0059
91,6.42,0.0351
92,4.55,0.039
93,39.12,0.0866
94,8.28,0.1019
95,63.35,0.163
96,25.45,0.139
97,80.26,0.1665
